,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
23,133.071524673,1,2184,2,3,1,12,0,19,0,0,0,0,0,0,0,8745,38,5417805344,2199,46,48,81693602808
24,140.096861764,1,2716,0,0,0,12,0,12,3,0,1,0,0,0,0,11827,49,7208041344,2769,35,35,104192924314
25,146.406980935,1,2674,0,6,0,16,0,11,0,0,0,0,0,0,0,9713,39,6216104290,2611,53,52,94439414664
26,153.229758859,1,2736,0,0,0,16,0,11,1,0,0,0,0,0,0,10871,35,6863815132,2760,35,35,102242652782
27,159.125470393,1,2620,2,1,0,23,2,4,0,0,1,0,0,0,0,9179,34,5757416621,2480,40,41,89237231052
28,164.68571542,1,2166,2,0,2,23,2,8,1,0,0,0,0,0,0,9077,35,5706839715,2199,40,40,83964030310
29,170.826789636,1,2435,2,0,2,36,2,8,1,0,0,0,0,0,0,9876,40,5966372573,2578,37,36,90318816056
30,176.633938516,1,2514,8,0,6,36,4,9,1,0,0,0,0,0,0,9612,27,5980858270,2609,42,39,87552052554
31,183.013674247,1,2695,8,0,4,7,4,8,3,0,1,0,0,0,0,10063,42,6161932614,2460,41,43,94999290464
32,188.831483423,1,2403,8,3,4,8,4,8,1,0,0,0,0,0,0,9971,41,6245606720,2523,42,44,87221080286
33,194.521877576,1,2406,0,0,0,6,0,5,1,0,0,0,0,1,0,9178,38,5611871930,2365,53,53,87902734728
34,200.375202258,1,2572,0,1,0,7,0,15,1,0,1,0,0,0,0,9994,30,6247122026,2653,37,35,86243029944
35,207.741494615,1,2849,0,6,0,9,0,15,1,0,0,0,0,0,0,10886,37,6738534941,2782,47,49,109227996822
36,213.661488849,1,2462,0,0,0,7,0,15,1,0,0,0,0,0,0,9095,32,5735479758,2464,34,30,88367463810
37,219.974755567,1,2771,8,0,3,3,2,15,1,0,4,4,0,0,0,10808,32,6657134680,2765,46,49,94306230066
38,225.977401048,1,2458,8,0,3,3,2,15,5,0,1,0,0,0,0,9840,34,6113380167,2484,42,41,91390807964
39,232.785486154,1,2739,10,1,5,10,4,17,0,0,0,0,0,0,0,9956,38,6266095026,2576,41,42,100688439846
40,237.974968463,1,2156,4,0,2,10,2,22,1,0,0,0,0,0,0,8952,30,5855691644,2451,50,50,77998287012
41,244.629511475,1,2938,6,0,2,20,2,23,0,0,0,0,0,0,0,9860,41,6326453824,2748,54,51,101131101714
42,250.353304042,1,2315,4,0,2,29,2,30,2,0,1,0,0,0,0,9319,42,5761146699,2269,39,43,84419824826
43,256.071147046,1,2246,16,0,6,15,4,37,0,0,0,0,0,0,0,9589,30,5781728129,2279,29,29,84961409486
44,261.533106032,1,2458,14,3,6,11,4,36,3,0,0,0,0,0,0,9580,41,6102953017,2820,35,32,82532064322
45,267.873248034,1,2739,14,7,4,25,2,27,2,0,1,0,0,0,0,10163,39,6269976090,2652,57,57,97634379732
46,274.79122837,1,2715,3,0,1,21,1,7,1,0,0,0,0,0,0,10453,37,6445436248,2589,59,59,100469011150
47,280.279042785,1,2174,5,0,1,6,1,9,1,0,0,0,0,0,0,8694,31,5405632635,2100,31,33,81810153588
48,287.076392409,1,2803,5,0,3,9,3,9,1,0,1,0,0,0,0,10710,46,6766706466,2939,41,42,102668103202
49,293.493312435,1,2697,2,0,2,29,2,5,1,0,1,0,0,0,0,10046,41,6211611179,2476,47,46,95832757116
50,300.629192138,1,2773,0,0,2,29,2,8,2,0,1,0,0,0,0,11740,64,7325918575,2838,55,56,106260439908
51,307.853104847,1,3125,8,1,4,9,4,8,2,0,1,0,0,0,0,11205,42,7080549306,3114,44,43,108764837202
52,313.134530022,1,2192,8,0,4,5,4,15,2,0,0,0,0,0,0,9053,31,5432194342,2285,34,34,79115601560
53,318.421223155,1,2550,8,0,4,22,4,10,1,0,0,0,0,0,0,9722,19,5966469271,2607,39,38,80373204284
54,326.705096095,1,3484,0,6,0,22,0,10,1,0,1,0,0,0,6,12679,45,7956967262,3334,52,54,124302595362
55,332.561262032,1,2304,0,3,0,11,0,2,1,0,0,0,0,0,0,9250,32,5569790195,2438,45,43,85868092662
56,337.905902359,1,2054,0,0,0,11,0,2,1,0,0,0,0,0,0,7462,32,4827294165,1824,25,27,80527690246
57,342.866897647,1,2163,0,1,0,6,0,2,3,0,1,0,0,0,0,9077,24,5443367504,2230,32,29,74193121414
58,349.36506443,1,2695,2,0,2,6,2,10,1,0,1,0,0,0,0,9893,39,6070094197,2708,37,40,96762490942
59,355.642132832,1,2692,2,0,2,10,2,10,2,0,0,0,0,0,1,11870,44,7006124196,2840,38,35,94659630122
60,362.95881711,1,3049,2,0,2,10,2,10,4,0,1,0,0,0,0,11127,48,7300772681,3051,40,42,109380774608
61,370.222744131,1,3001,2,0,0,6,0,18,0,0,0,0,0,0,0,10985,40,6942748486,2927,43,43,108370386714
62,376.492994243,1,2685,2,1,0,6,0,25,2,0,0,0,0,0,0,9701,25,5900702589,2537,42,38,94250289106
63,381.534765338,1,1975,2,3,0,24,0,27,1,0,0,0,0,0,0,8150,29,5129186477,1989,39,43,75210955672
64,386.372979031,1,1868,0,6,0,24,0,12,0,0,1,0,0,0,0,8083,42,4936334749,1928,30,24,72704994146
65,391.928917961,1,2369,0,0,0,36,0,10,2,0,0,0,0,0,0,9048,34,5626165287,2458,44,49,83370605954
66,397.870466019,1,2475,0,0,0,36,0,17,0,0,0,0,0,0,0,10754,47,6710723051,2744,44,46,88737261548
67,403.820890727,1,2437,10,0,3,12,2,24,1,0,0,0,0,0,0,7476,27,4519532053,1919,27,24,89121089006
68,408.796874062,1,2136,10,0,3,12,2,22,1,0,1,0,0,0,0,9308,32,5646290869,2338,25,27,74862324198
69,414.910767475,1,2602,12,1,5,28,4,15,2,0,0,0,0,0,0,11239,40,6897815051,2823,51,50,91215381040
70,422.115166647,1,3318,3,0,3,28,3,8,0,0,0,0,0,0,0,10801,37,6734451911,3040,42,43,109681594244
71,429.256796942,1,2925,13,0,9,8,9,9,2,0,1,0,0,0,0,10998,42,6728075823,3092,37,36,105268794858
72,434.916798723,1,2445,11,3,7,8,7,15,3,0,1,0,0,0,0,8861,28,5499563265,2184,39,40,84699931024
73,441.137059557,1,2481,24,0,10,11,8,38,1,0,0,0,0,0,0,9993,35,6155082889,2587,50,51,93474267102
